"cohort_month","months_since_first","active_customers"
"2017-10-01 00:00:00",4.0,10
"2017-10-01 00:00:00",5.0,9
"2017-10-01 00:00:00",6.0,9
"2017-10-01 00:00:00",7.0,16
"2017-10-01 00:00:00",8.0,12
"2017-10-01 00:00:00",9.0,8
"2017-10-01 00:00:00",10.0,9
"2017-11-01 00:00:00",0.0,7060
"2017-11-01 00:00:00",1.0,40
"2017-11-01 00:00:00",2.0,26
"2017-11-01 00:00:00",3.0,12
"2017-11-01 00:00:00",4.0,12
"2017-11-01 00:00:00",5.0,13
"2017-11-01 00:00:00",6.0,8
"2017-11-01 00:00:00",7.0,13
"2017-11-01 00:00:00",8.0,9
"2017-11-01 00:00:00",9.0,4
"2017-12-01 00:00:00",0.0,5338
"2017-12-01 00:00:00",1.0,11
"2017-12-01 00:00:00",2.0,15
"2017-12-01 00:00:00",3.0,18
"2017-12-01 00:00:00",4.0,14
"2017-12-01 00:00:00",5.0,11
"2017-12-01 00:00:00",6.0,9
"2017-12-01 00:00:00",7.0,1
"2017-12-01 00:00:00",8.0,10
"2018-01-01 00:00:00",0.0,6842
"2018-01-01 00:00:00",1.0,23
"2018-01-01 00:00:00",2.0,25
"2018-01-01 00:00:00",3.0,20
"2018-01-01 00:00:00",4.0,20
"2018-01-01 00:00:00",5.0,11
"2018-01-01 00:00:00",6.0,12
"2018-01-01 00:00:00",7.0,16
"2018-02-01 00:00:00",0.0,6288
"2018-02-01 00:00:00",1.0,22
"2018-02-01 00:00:00",2.0,25
"2018-02-01 00:00:00",3.0,19
"2018-02-01 00:00:00",4.0,16
"2018-02-01 00:00:00",5.0,14
"2018-02-01 00:00:00",6.0,13
"2018-03-01 00:00:00",0.0,6774
"2018-03-01 00:00:00",1.0,27
"2018-03-01 00:00:00",2.0,20
"2018-03-01 00:00:00",3.0,20
"2018-03-01 00:00:00",4.0,8
"2018-03-01 00:00:00",5.0,8
"2018-04-01 00:00:00",0.0,6582
"2018-04-01 00:00:00",1.0,39
"2018-04-01 00:00:00",2.0,20
"2018-04-01 00:00:00",3.0,16
"2018-04-01 00:00:00",4.0,9
"2018-05-01 00:00:00",0.0,6506
"2018-05-01 00:00:00",1.0,34
"2018-05-01 00:00:00",2.0,17
"2018-05-01 00:00:00",3.0,12
"2018-06-01 00:00:00",0.0,5878
"2018-06-01 00:00:00",1.0,25
"2018-06-01 00:00:00",2.0,16
"2018-07-01 00:00:00",0.0,5949
"2018-07-01 00:00:00",1.0,31
"2018-08-01 00:00:00",0.0,6144
